commoditycode_2,,color,Category,Name
101,1,pink,Animal & Animal Products,Horses
102,1,pink,Animal & Animal Products,Bovine
103,1,pink,Animal & Animal Products,Swine
104,1,pink,Animal & Animal Products,Sheep
105,1,pink,Animal & Animal Products,Fowl
106,1,pink,Animal & Animal Products,Other live animals
201,2,pink,Animal & Animal Products,Beef
202,2,pink,Animal & Animal Products,Beef (frozen)
203,2,pink,Animal & Animal Products,Pork
204,2,pink,Animal & Animal Products,Lamb
205,2,pink,Animal & Animal Products,Horse meat
206,2,pink,Animal & Animal Products,Edible offal
207,2,pink,Animal & Animal Products,Poultry
208,2,pink,Animal & Animal Products,Other meat
209,2,pink,Animal & Animal Products,Pig and poultry fat
210,2,pink,Animal & Animal Products,Preserved meat
301,3,pink,Animal & Animal Products,Live Fish
302,3,pink,Animal & Animal Products,"Fish, excluding fillets"
303,3,pink,Animal & Animal Products,"Frozen fish, excluding fillets"
304,3,pink,Animal & Animal Products,Fish fillets
305,3,pink,Animal & Animal Products,Preserved fish
306,3,pink,Animal & Animal Products,Crustaceans
307,3,pink,Animal & Animal Products,Molluscs
401,4,pink,Animal & Animal Products,Milk
402,4,pink,Animal & Animal Products,"Milk, concentrated"
403,4,pink,Animal & Animal Products,Fermented milk products
404,4,pink,Animal & Animal Products,Whey
405,4,pink,Animal & Animal Products,Butter
406,4,pink,Animal & Animal Products,Cheese
407,4,pink,Animal & Animal Products,"Eggs, in shell"
408,4,pink,Animal & Animal Products,Egg yolks
409,4,pink,Animal & Animal Products,Honey
410,4,pink,Animal & Animal Products,"Edible animal products, n.e.c."
501,5,pink,Animal & Animal Products,"Human hair, unworked"
502,5,pink,Animal & Animal Products,Brushmaking hair
503,5,pink,Animal & Animal Products,Other
504,5,pink,Animal & Animal Products,"Animal guts, except fish"
505,5,pink,Animal & Animal Products,Feathers and down
506,5,pink,Animal & Animal Products,"Bones, simply prepared"
507,5,pink,Animal & Animal Products,Whalebone & horns
508,5,pink,Animal & Animal Products,Coral and shells
509,5,pink,Animal & Animal Products,Sponges of animal origin
510,5,pink,Animal & Animal Products,Animal products used in pharmaceuticals
511,5,pink,Animal & Animal Products,Animal products n.e.c.
601,6,yellow,Vegetable Products,Flower bulbs
602,6,yellow,Vegetable Products,Other live plants
603,6,yellow,Vegetable Products,Cut flowers
604,6,yellow,Vegetable Products,Other parts of plants
701,7,yellow,Vegetable Products,Potatoes
702,7,yellow,Vegetable Products,Tomatoes
703,7,yellow,Vegetable Products,"Onions, shallots, garlic"
704,7,yellow,Vegetable Products,"Cabbages, cauliflowers, broccoli"
705,7,yellow,Vegetable Products,Lettuce
706,7,yellow,Vegetable Products,Carrots & turnips
707,7,yellow,Vegetable Products,Cucumbers
708,7,yellow,Vegetable Products,Legumes
709,7,yellow,Vegetable Products,Other vegetables
710,7,yellow,Vegetable Products,Frozen vegetables
711,7,yellow,Vegetable Products,"Vegetables, provisionally preserved"
712,7,yellow,Vegetable Products,"Vegetables, dried"
713,7,yellow,Vegetable Products,"Legumes, dried"
714,7,yellow,Vegetable Products,Tubers
801,8,yellow,Vegetable Products,Cashew nuts & coconuts
802,8,yellow,Vegetable Products,Other nuts
803,8,yellow,Vegetable Products,Bananas and plantains
804,8,yellow,Vegetable Products,"Avocados, pineapples, mangos, etc."
805,8,yellow,Vegetable Products,Citrus fruit
806,8,yellow,Vegetable Products,Grapes
807,8,yellow,Vegetable Products,Melons and papayas
808,8,yellow,Vegetable Products,Apples & pears
809,8,yellow,Vegetable Products,Peaches & cherries
810,8,yellow,Vegetable Products,Other fresh fruit
811,8,yellow,Vegetable Products,"Fruits and nuts, frozen"
812,8,yellow,Vegetable Products,"Fruits and nuts, provisionally preserved"
813,8,yellow,Vegetable Products,"Fruits, dried"
814,8,yellow,Vegetable Products,Peel of citrus fruit or melons
901,9,yellow,Vegetable Products,Coffee
902,9,yellow,Vegetable Products,Tea
903,9,yellow,Vegetable Products,Mate
904,9,yellow,Vegetable Products,Pepper
905,9,yellow,Vegetable Products,Vanilla
906,9,yellow,Vegetable Products,Cinnamon
907,9,yellow,Vegetable Products,Cloves
908,9,yellow,Vegetable Products,Nutmeg
909,9,yellow,Vegetable Products,"Anise, fennel, etc."
910,9,yellow,Vegetable Products,Spices
1001,10,yellow,Vegetable Products,Wheat and meslin
